05 06 2017,  51.67 , 28.34
06 06 2017,  129.49 , 20.86
07 06 2017,  0.01 , 17.70
08 06 2017,  0.00 , 16.15
09 06 2017,  0.00 , 16.87
10 06 2017,  0.00 , 22.94
11 06 2017,  0.00 , 19.16
12 06 2017,  0.00 , 23.30
13 06 2017,  76.01 , 40.81
14 06 2017,  0.00 , 20.29
15 06 2017,  0.00 , 40.41
16 06 2017,  148.54 , 34.29
17 06 2017,  186.98 , 33.50
18 06 2017,  208.56 , 33.83
19 06 2017,  0.00 , 28.04
20 06 2017,  45.56 , 24.68
21 06 2017,  0.00 , 17.10
22 06 2017,  0.00 , 18.56
23 06 2017,  255.09 , 39.78
24 06 2017,  0.00 , 16.40
25 06 2017,  64.63 , 16.46
26 06 2017,  100.36 , 17.26
27 06 2017,  106.51 , 16.64
28 06 2017,  68.44 , 18.09
29 06 2017,  0.00 , 24.41
30 06 2017,  30.88 , 42.11
01 07 2017,  135.20 , 42.23
02 07 2017,  12.61 , 24.45
03 07 2017,  0.00 , 17.09
04 07 2017,  0.00 , 20.03
05 07 2017,  0.00 , 19.12
06 07 2017,  139.83 , 23.37
07 07 2017,  0.00 , 31.38
08 07 2017,  343.19 , 30.42
09 07 2017,  43.35 , 22.59
10 07 2017,  0.00 , 24.92
11 07 2017,  0.33 , 26.70
12 07 2017,  870.40 , 43.57
13 07 2017,  299.34 , 43.60
14 07 2017,  761.19 , 30.25
15 07 2017,  0.00 , 25.46
16 07 2017,  19.44 , 23.67
17 07 2017,  226.50 , 25.31
18 07 2017,  0.00 , 17.96
19 07 2017,  0.00 , 26.26
20 07 2017,  0.00 , 24.30
21 07 2017,  463.02 , 29.60
22 07 2017,  0.00 , 29.94
23 07 2017,  0.00 , 33.70
24 07 2017,  1240.63 , 34.43
25 07 2017,  0.00 , 22.97
26 07 2017,  0.00 , 15.00
27 07 2017,  10.51 , 42.90
28 07 2017,  0.00 , 25.48
29 07 2017,  0.00 , 13.53
30 07 2017,  3.00 , 28.84
31 07 2017,  0.00 , 24.56
01 08 2017,  345.68 , 28.93
02 08 2017,  15.05 , 26.29
03 08 2017,  0.00 , 31.44
04 08 2017,  207.33 , 34.32
05 08 2017,  4.56 , 23.77
06 08 2017,  25.01 , 18.69
07 08 2017,  119.20 , 26.83
08 08 2017,  144.12 , 18.55
09 08 2017,  53.52 , 25.37
10 08 2017,  8.37 , 19.70
11 08 2017,  11.47 , 33.65
12 08 2017,  682.61 , 28.02
13 08 2017,  13.43 , 18.43
14 08 2017,  0.00 , 22.31
15 08 2017,  98.92 , 31.15
16 08 2017,  21.19 , 23.94
17 08 2017,  0.00 , 27.09
18 08 2017,  191.13 , 27.61
19 08 2017,  0.09 , 26.62
20 08 2017,  36.48 , 26.52
21 08 2017,  0.00 , 31.98
22 08 2017,  647.26 , 41.30
25 08 2017,  0.00 , 16.47
26 08 2017,  0.00 , 13.50
27 08 2017,  0.00 , 13.65
28 08 2017,  0.00 , 17.27
29 08 2017,  0.00 , 22.93
30 08 2017,  22.16 , 25.56
31 08 2017,  43.77 , 27.91
03 09 2017,  0.00 , 32.06
04 09 2017,  0.00 , 24.64
05 09 2017,  0.00 , 27.70
06 09 2017,  72.36 , 20.57
07 09 2017,  104.29 , 19.30
08 09 2017,  14.49 , 20.05
09 09 2017,  0.00 , 12.14
10 09 2017,  0.00 , 15.45
11 09 2017,  0.00 , 12.80
12 09 2017,  0.00 , 11.44
13 09 2017,  0.00 , 26.80
14 09 2017,  4.47 , 34.27
15 09 2017,  0.00 , 27.07
16 09 2017,  0.00 , 23.57
17 09 2017,  5.90 , 24.65
18 09 2017,  93.92 , 29.95
19 09 2017,  77.76 , 37.51
20 09 2017,  0.00 , 24.70
21 09 2017,  0.00 , 20.42
22 09 2017,  0.00 , 25.54
23 09 2017,  0.00 , 28.92
24 09 2017,  141.15 , 30.64
25 09 2017,  168.51 , 29.77
26 09 2017,  202.75 , 34.03
27 09 2017,  24.86 , 30.35
